q_id	genome_org	taxo1	taxo2	taxonomy	Hit	Hit_name	LAMPA_exclusive	LAMPA_iterat_type	LAMPA_q_from	LAMPA_q_to	LAMPA_h_from	LAMPA_h_to	LAMPA_TemplateHMM	LAMPA_Prob	LAMPA_E_value	PROT_q_from	PROT_q_to	PROT_h_from	PROT_h_to	PROT_TemplateHMM	PROT_Prob	PROT_E_value	DOM_q_from	DOM_q_to	DOM_h_from	DOM_h_to	DOM_TemplateHMM	DOM_Prob	DOM_E_value	target length	target Neff	query length #1	probability #1	pvalue #1	score #1	SS score #1	query coordinates #1	target coordinates #1	query length #2	probability #2	pvalue #2	score #2	SS score #2	query coordinates #2	target coordinates #2	Probab2
YP_009336942.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei toti-like virus 5	PF00625.20	Guanylate_kin, Guanylate kinase	1	2	1976	2461	2263	2389	4-155(186)	96.6	0.00091	1	2461	2263	2389	4-155(186)	93.7	0.024	2163	2461	2263	2389	4-155(186)	97	0.00027	186	11.4	2461	93.7	1.4e-06	47.8	3.5	1-2461	4-155	486	96.6	5.4e-08	47.3	3.5	1976-2461	4-155	2	96.66029067171154
YP_009342047.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan coneheads virus 2	PF01087.21	GalP_UDP_transf, Galactose-1-phosphate uridyl transferase, N-terminal domain	1	2	1785	2193	1830	1887	116-172(174)	96.1	0.0025	1	2193	1830	1887	116-172(174)	92.7	0.047	1730	1987	1830	1887	116-172(174)	96.7	0.00085	174	8.8	2193	92.7	2.8e-06	49.5	4.0	1-2193	116-172	409	96.1	1.5e-07	48.3	4.0	1785-2193	116-172	2	96.38326902705245
YP_009333392.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 119	PF01591.17	6PF2K, 6-phosphofructo-2-kinase	1	3	1316	1615	1430	1544	6-173(217)	96.6	0.0016	1	2731	1430	1544	6-173(217)	91.8	0.088	1330	1644	1430	1544	6-173(217)	96.6	0.0015	217	11.1	2731	91.8	5.3e-06	46.4	4.7	1-2731	6-173	300	96.6	9.5e-08	44.9	4.7	1316-1615	6-173	3	96.83126337622456
YP_803213.1	ssRNA positive-strand viruses	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Bafinivirus, White bream virus	PF02390.16	Methyltransf_4, Putative methyltransferase	1	3	1201	1648	1422	1496	2-92(181)	96.2	0.0015	1	6872	1422	1496	2-92(181)	83.6	0.3	1322	1596	1422	1496	2-92(181)	96.7	0.00053	181	12.5	6872	83.6	1.8e-05	43.0	2.5	1-6872	2-92	448	96.2	8.8e-08	43.2	2.5	1201-1648	2-92	4	96.11879772783472
YP_803214.1	ssRNA positive-strand viruses	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Bafinivirus, White bream virus	PF02390.16	Methyltransf_4, Putative methyltransferase	1	3	1201	1648	1422	1496	2-92(181)	96.2	0.0015	1	4555	1422	1496	2-92(181)	87.9	0.14	1322	1596	1422	1496	2-92(181)	96.7	0.00053	181	12.5	4555	87.9	8.4e-06	43.5	2.6	1-4555	2-92	448	96.2	8.8e-08	43.2	2.6	1201-1648	2-92	4	96.2652223404873
YP_009336787.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou picorna-like virus 46	PF02572.14	CobA_CobO_BtuR, ATP:corrinoid adenosyltransferase BtuR/CobO/CobP	1	3	842	1141	930	1056	2-167(168)	96.2	0.00033	1	3290	930	1056	2-167(168)	87.6	0.047	830	1156	930	1056	2-167(168)	96.1	4e-04	168	11.4	3290	87.6	2.8e-06	46.6	-0.7	1-3290	2-167	300	96.2	2e-08	46.0	-0.7	842-1141	2-167	3	96.34314302258487
YP_009336673.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Shahe isopoda virus 2	PF02702.16	KdpD, Osmosensitive K+ channel His kinase sensor domain	1	3	629	928	751	839	1-123(210)	96.1	0.00062	1	3312	751	839	1-123(210)	86.2	0.095	651	939	751	839	1-123(210)	96.2	0.00055	210	11.2	3312	86.2	5.7e-06	46.6	0.5	1-3312	1-123	300	96.1	3.7e-08	46.6	0.5	629-928	1-123	3	96.1495171755076
YP_009337174.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 71	PF02702.16	KdpD, Osmosensitive K+ channel His kinase sensor domain	1	2	829	1444	911	1011	1-122(210)	96.8	0.00093	1	2408	911	1011	1-122(210)	94.4	0.025	811	1111	911	1011	1-122(210)	97.3	0.00021	210	11.2	2408	94.4	1.5e-06	48.9	5.2	1-2408	1-122	616	96.8	5.6e-08	50.0	5.2	829-1444	1-122	2	96.63396378748173
YP_009333298.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai hepe-like virus 9	PF02825.19	WWE, WWE domain	1	3	862	1161	962	1026	4-69(71)	96.1	0.0023	1	2150	962	1026	4-69(71)	91.3	0.068	862	1126	962	1026	4-69(71)	96.2	0.0019	71	10.2	2150	91.3	4.1e-06	39.7	2.9	1-2150	4-69	300	96.1	1.4e-07	38.2	2.9	862-1161	4-69	3	96.48783426210585
YP_004123950.1	dsRNA viruses	Endornaviridae	Betaendornavirus	Viruses, dsRNA viruses, Endornaviridae, Betaendornavirus, Tuber aestivum betaendornavirus	PF03266.14	NTPase_1, NTPase	1	3	2347	2711	2530	2664	3-143(165)	96.4	0.0015	1	3217	2530	2664	3-143(165)	91	0.085	2430	2764	2530	2664	3-143(165)	96.6	0.001	165	12.9	3217	91.0	5.1e-06	41.8	3.4	1-3217	3-143	365	96.4	8.9e-08	40.6	3.4	2347-2711	3-143	3	96.66413461588692
YP_009333424.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 60	PF03969.15	AFG1_ATPase, AFG1-like ATPase	1	2	425	883	471	543	3-83(336)	95.5	0.0042	1	2765	471	543	3-83(336)	88.8	0.11	371	643	471	543	3-83(336)	96.2	0.0015	336	9.6	2765	88.8	6.8e-06	51.2	2.9	1-2765	3-83	459	95.5	2.5e-07	50.9	2.9	425-883	3-83	2	95.52881568644868
YP_009337644.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Sanxia atyid shrimp virus 2	PF03976.13	PPK2, Polyphosphate kinase 2 (PPK2)	1	3	601	900	702	783	2-52(226)	96.8	0.00065	1	3230	702	783	2-52(226)	91.2	0.08	602	883	702	783	2-52(226)	96.8	0.00052	226	10.9	3230	91.2	4.8e-06	48.1	3.7	1-3230	2-52	300	96.8	3.9e-08	47.6	3.7	601-900	2-52	4	96.82308604223805
YP_009046830.1	dsRNA viruses	Endornaviridae	Alphaendornavirus	Viruses, dsRNA viruses, Endornaviridae, Alphaendornavirus, Yerba mate alphaendornavirus	PF04101.15	Glyco_tran_28_C, Glycosyltransferase family 28 C-terminal domain	1	3	3226	3525	3300	3438	3-148(168)	96	0.028	1	4580	3300	3438	3-148(168)	83.6	2	3200	3538	3300	3438	3-148(168)	95.9	0.033	168	12.4	4580	83.6	0.00012	35.7	7.8	1-4580	3-148	300	96.0	1.7e-06	34.7	7.8	3226-3525	3-148	3	96.27868293075171
YP_009310114.1	dsRNA viruses	Endornaviridae	unclassified	Viruses, dsRNA viruses, Endornaviridae, unclassified Endornavirus, Ceratobasidium endornavirus B	PF04101.15	Glyco_tran_28_C, Glycosyltransferase family 28 C-terminal domain	1	3	3657	3956	3689	3835	2-143(168)	97.2	0.00085	1	5744	3689	3835	2-143(168)	92.5	0.14	3589	3935	3689	3835	2-143(168)	97.1	0.0011	168	12.4	5744	92.5	8.1e-06	44.2	6.7	1-5744	2-143	300	97.2	5.1e-08	41.9	6.7	3657-3956	2-143	4	97.44374677595063
YP_009337788.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 68	PF04266.13	ASCH, ASCH domain	1	2	2523	2658	2540	2638	1-121(124)	95.8	4e-04	1	3291	2540	2638	1-121(124)	77.8	0.14	2440	2738	2540	2638	1-121(124)	94.3	0.0021	124	8.6	3291	77.8	8.6e-06	45.9	-1.7	1-3291	1-121	136	95.8	2.4e-08	43.8	-1.7	2523-2658	1-121	2	96.36429544195748
YP_009345054.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan millipede virus 3	PF04266.13	ASCH, ASCH domain	1	3	818	1260	1139	1234	9-120(124)	95.2	0.0037	1	2189	1139	1234	9-120(124)	89.1	0.074	1039	1334	1139	1234	9-120(124)	96.1	0.0011	124	8.6	2189	89.1	4.4e-06	46.0	1.6	1-2189	9-120	443	95.2	2.2e-07	45.7	1.6	818-1260	9-120	3	95.29499969475484
YP_009052475.1	ssRNA positive-strand viruses	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Ball python nidovirus 1	PF05185.15	PRMT5, PRMT5 arginine-N-methyltransferase	1	3	3109	3408	3307	3407	41-148(170)	96.1	0.0018	1	8108	3307	3407	41-148(170)	80.5	0.44	3207	3507	3307	3407	41-148(170)	96.2	0.0016	170	12.3	8108	80.5	2.7e-05	42.5	2.5	1-8108	41-148	300	96.1	1.1e-07	40.5	2.5	3109-3408	41-148	4	96.54575604107778
YP_009052476.1	ssRNA positive-strand viruses	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Ball python nidovirus 1	PF05185.15	PRMT5, PRMT5 arginine-N-methyltransferase	1	3	3109	3408	3307	3407	41-148(170)	96.1	0.0018	1	5803	3307	3407	41-148(170)	85.8	0.2	3207	3507	3307	3407	41-148(170)	96.1	0.0016	170	12.3	5803	85.8	1.2e-05	43.4	2.4	1-5803	41-148	300	96.1	1.1e-07	40.5	2.4	3109-3408	41-148	4	96.69996595636529
YP_009054900.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Avisivirus, Chicken picornavirus 3	PF05496.11	RuvB_N, Holliday junction DNA helicase ruvB N-terminus	1	2	644	1172	720	813	42-149(228)	96	0.00055	1	2146	720	813	42-149(228)	92.3	0.013	620	913	720	813	42-149(228)	96.6	0.00017	228	12.9	2146	92.3	7.9e-07	47.1	-0.2	1-2146	42-149	529	96.0	3.3e-08	47.1	-0.2	644-1172	42-149	2	96.02444722958845
YP_009215118.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Avisivirus Pf-CHK1/AsV	PF05496.11	RuvB_N, Holliday junction DNA helicase ruvB N-terminus	1	2	644	1172	720	813	42-149(228)	96	0.00059	1	2146	720	813	42-149(228)	92.2	0.014	620	913	720	813	42-149(228)	96.6	0.00018	228	12.9	2146	92.2	8.3e-07	47.0	-0.2	1-2146	42-149	529	96.0	3.5e-08	47.0	-0.2	644-1172	42-149	2	95.99812482577191
YP_009336506.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei orthoptera virus 3	PF05496.11	RuvB_N, Holliday junction DNA helicase ruvB N-terminus	1	2	504	738	519	672	11-176(228)	97.2	0.00034	1	2234	518	672	10-176(228)	93.8	0.046	419	772	518	672	10-176(228)	96.9	0.00097	228	12.9	2234	93.8	2.8e-06	44.0	5.2	1-2234	10-176	235	97.2	2.1e-08	43.3	5.2	504-738	11-176	2	97.3082525325009
YP_009337100.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 59	PF05496.11	RuvB_N, Holliday junction DNA helicase ruvB N-terminus	1	3	515	814	565	700	1-152(228)	95.1	0.0077	1	2904	565	700	1-152(228)	81.1	0.46	465	800	565	700	1-152(228)	94.9	0.0087	228	12.9	2904	81.1	2.8e-05	39.0	2.6	1-2904	1-152	300	95.1	4.6e-07	38.2	2.6	515-814	1-152	4	95.36554970334217
YP_009337178.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei coleoptera virus 2	PF05496.11	RuvB_N, Holliday junction DNA helicase ruvB N-terminus	1	2	299	1476	903	978	47-101(228)	96.3	0.0016	1	3547	903	978	47-101(228)	94.4	0.015	803	1078	903	978	47-101(228)	97.5	4.1e-05	228	12.9	3547	94.4	8.7e-07	49.4	3.6	1-3547	47-101	1178	96.3	9.4e-08	49.3	3.6	299-1476	47-101	2	96.32318269288811
YP_009337411.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 58	PF05496.11	RuvB_N, Holliday junction DNA helicase ruvB N-terminus	1	2	423	1081	490	592	24-152(228)	95.6	0.01	1	2856	490	592	24-152(228)	91.3	0.14	390	692	490	592	24-152(228)	96.7	0.0017	228	12.9	2856	91.3	8.2e-06	42.2	5.0	1-2856	24-152	659	95.6	6e-07	41.7	5.0	423-1081	24-152	2	95.75167650110845
YP_415507.1	ssRNA positive-strand viruses	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Kelp fly virus	PF05673.12	DUF815, Protein of unknown function (DUF815)	1	2	1754	2388	1794	1877	34-119(252)	95.9	0.0059	1	3436	1794	1877	34-119(252)	91	0.13	1694	1977	1794	1877	34-119(252)	97	0.00068	252	11.9	3436	91.0	7.9e-06	45.8	5.0	1-3436	34-119	635	95.9	3.5e-07	45.5	5.0	1754-2388	34-119	2	95.96179229805944
YP_009337287.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou picorna-like virus 51	PF05673.12	DUF815, Protein of unknown function (DUF815)	1	3	451	750	569	657	1-78(252)	95.5	0.0014	1	2710	569	657	1-78(252)	86.9	0.075	469	757	569	657	1-78(252)	95.7	0.0011	252	11.9	2710	86.9	4.5e-06	46.3	0.2	1-2710	1-78	300	95.5	8.6e-08	44.5	0.2	451-750	1-78	4	96.04287339197028
YP_009336820.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 53	PF05707.11	Zot, Zonular occludens toxin (Zot)	1	3	1351	1650	1477	1554	2-86(210)	95.2	0.0081	1	4206	1477	1554	2-86(210)	80.3	0.57	1377	1654	1477	1554	2-86(210)	95.4	0.0066	210	10.7	4206	80.3	3.4e-05	43.2	3.3	1-4206	2-86	300	95.2	4.9e-07	41.7	3.3	1351-1650	2-86	4	95.70923056274205
YP_001531163.1	dsRNA viruses	Chrysoviridae	Chrysovirus	Viruses, dsRNA viruses, Chrysoviridae, Chrysovirus, Amasya cherry disease associated chrysovirus	PF08303.10	tRNA_lig_kinase, tRNA ligase kinase domain	1	2	1	342	62	224	1-157(168)	96.4	0.0016	1	1087	62	224	1-157(168)	94.2	0.022	1	324	62	224	1-157(168)	96.4	0.0015	168	9.7	1087	94.2	1.3e-06	46.4	4.0	1-1087	1-157	342	96.4	9.8e-08	46.5	4.0	1-342	1-157	2	96.39055096405639
NP_066134.1	ssRNA positive-strand viruses	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Coronavirinae, Gammacoronavirus, Infectious bronchitis virus	PF09412.9	XendoU, Endoribonuclease XendoU	1	2	6058	6327	6209	6324	146-264(264)	95.8	0.0055	1	6629	6209	6324	146-264(264)	79.2	0.96	6109	6424	6209	6324	146-264(264)	95.4	0.0091	264	6.4	6629	79.2	5.8e-05	49.8	5.2	1-6629	146-264	270	95.8	3.3e-07	50.1	4.7	6058-6327	146-264	2	95.81276097984781
YP_001941164.2	ssRNA positive-strand viruses	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Coronavirinae, Gammacoronavirus, Turkey coronavirus	PF09412.9	XendoU, Endoribonuclease XendoU	1	2	6055	6324	6206	6321	146-264(264)	95.6	0.0054	1	6602	6206	6321	146-264(264)	78.6	0.79	6106	6421	6206	6321	146-264(264)	95.4	0.009	264	6.4	6602	78.6	4.7e-05	50.5	4.2	1-6602	146-264	270	95.6	3.2e-07	50.1	4.2	6055-6324	146-264	2	95.73595653878446
YP_009380520.1	ssRNA positive-strand viruses	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Coronavirinae, Alphacoronavirus, unclassified Alphacoronavirus, Coronavirus AcCoV-JC34	PF09412.9	XendoU, Endoribonuclease XendoU	1	2	2092	2370	2254	2366	146-264(264)	95.6	0.017	1	2671	2254	2366	146-264(264)	87.2	0.53	2154	2466	2254	2366	146-264(264)	95.3	0.021	264	6.4	2671	87.2	3.2e-05	48.2	6.9	1-2671	146-264	279	95.6	9.9e-07	47.4	6.9	2092-2370	146-264	2	95.78241593023515
