This Pfam domain was detected only during IHH-specific iterations? 0 = No, 1 = Yes	Pfam AC	Pfam ID, description	Protein AC	Protein length	Start hit coordinate on protein, aa	End hit coordinate on protein, aa	P_IHH	P_protein	P_domain	Virus genome	The most senior rank to which virus is classified	The 2nd most senior rank to which virus is classified	Virus taxonomy	target length	target Neff	query length #1	probability #1	pvalue #1	score #1	SS score #1	query coordinates #1	target coordinates #1	query length #2	probability #2	pvalue #2	score #2	SS score #2	query coordinates #2	target coordinates #2	Probab2
1	PF03215.14	Rad17, Rad17 cell cycle checkpoint protein	YP_009333432.1	1940	577	646	95.4	89.3	95.5	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 77	518	8.9	1940	89.3	4.9e-06	54.3	2.4	1-1940	7-69	300	95.4	2.3e-07	52.6	2.3	490-789	7-69	3	95.82566610090029
1	PF03796.14	DnaB_C, DnaB-like helicase C terminal domain	YP_009337373.1	1795	359	423	96.6	92	96.6	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou picorna-like virus 1	256	11.8	1795	92.0	2.2e-06	46.5	2.3	1-1795	13-73	300	96.6	3.5e-08	46.8	2.3	301-600	13-74	3	96.48821276929962
1	PF03976.13	PPK2, Polyphosphate kinase 2 (PPK2)	YP_415507.1	3436	1801	1860	96.2	92	97.1	plus_ssRNA	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Kelp fly virus	226	10.9	3436	92.0	4.8e-06	48.4	4.7	1-3436	6-53	641	96.2	1.9e-07	48.4	4.7	1747-2387	7-53	2	96.16147780321617
1	PF03976.13	PPK2, Polyphosphate kinase 2 (PPK2)	YP_009337644.1	3230	702	784	96.8	91.2	96.8	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Sanxia atyid shrimp virus 2	226	10.9	3230	91.2	4.8e-06	48.1	3.7	1-3230	2-53	300	96.8	3.9e-08	47.6	3.7	601-900	2-53	4	96.82308604223805
1	PF04101.15	Glyco_tran_28_C, Glycosyltransferase family 28 C-terminal domain	YP_009046830.1	4580	3352	3419	96	83.6	96.1	dsRNA viruses	Endornaviridae	Alphaendornavirus	Viruses, dsRNA viruses, Endornaviridae, Alphaendornavirus, Yerba mate alphaendornavirus	168	12.4	4580	83.6	0.00012	35.7	7.8	1-4580	55-127	300	96.0	1.7e-06	34.6	7.8	3228-3527	55-127	3	96.27868293075171
1	PF04101.15	Glyco_tran_28_C, Glycosyltransferase family 28 C-terminal domain	YP_009310114.1	5744	3754	3835	97.2	92.5	97.2	dsRNA viruses	Endornaviridae	unclassified	Viruses, dsRNA viruses, Endornaviridae, unclassified Endornavirus, Ceratobasidium endornavirus B	168	12.4	5744	92.5	8.1e-06	44.2	6.7	1-5744	55-143	300	97.2	4.4e-08	42.2	6.7	3567-3866	55-143	4	97.44374677595063
1	PF04266.13	ASCH, ASCH domain	YP_009337788.1	3291	2546	2628	95.2	77.8	94.5	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 68	124	8.6	3291	77.8	8.6e-06	45.9	-1.7	1-3291	13-101	190	95.2	5.2e-08	44.2	-1.7	2526-2715	13-101	2	95.8171833241037
1	PF04266.13	ASCH, ASCH domain	YP_009345054.1	2189	1139	1225	96	89.1	96.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan millipede virus 3	124	8.6	2189	89.1	4.4e-06	46.0	1.6	1-2189	9-102	300	96.0	7.6e-08	46.0	1.6	968-1267	9-102	4	95.99820147582338
1	PF05127.13	Helicase_RecD, Helicase	YP_009268710.1	2042	1181	1277	95.1	93.9	96.8	plus_ssRNA	Tymovirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, unclassified Tymovirales, Fusarium graminearum deltaflexivirus 1	158	12.3	2042	93.9	3.1e-06	42.0	5.5	1-2042	1-95	1240	95.1	6.8e-07	43.3	4.1	427-1666	1-95	2	95.14118092071632
1	PF05185.15	PRMT5, PRMT5 arginine-N-methyltransferase	YP_009052475.1	8108	3310	3400	96.2	80.5	96.2	plus_ssRNA	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Ball python nidovirus 1	170	12.3	8108	80.5	2.7e-05	42.5	2.5	1-8108	44-141	300	96.2	8.5e-08	41.1	2.5	3237-3536	44-141	5	96.54575604107778
1	PF05185.15	PRMT5, PRMT5 arginine-N-methyltransferase	YP_009052476.1	5803	3310	3400	96.2	85.8	96.2	plus_ssRNA	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Ball python nidovirus 1	170	12.3	5803	85.8	1.2e-05	43.4	2.4	1-5803	44-141	300	96.2	8.5e-08	41.1	2.4	3237-3536	44-141	5	96.69996595636529
1	PF05290.10	Baculo_IE-1, Baculovirus immediate-early protein (IE-0)	YP_009333607.1	3552	1934	1990	96.8	90.3	96.4	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 87	143	10.6	3552	90.3	5.9e-06	45.2	3.4	1-3552	80-136	147	96.8	3.9e-08	40.7	3.4	1912-2058	80-136	2	97.41012927289047
1	PF06414.11	Zeta_toxin, Zeta toxin	YP_009336523.1	1982	1236	1327	96.6	93.2	96.7	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai uca arcuata virus 1	196	11.1	1982	93.2	4.3e-06	44.7	5.8	1-1982	11-141	300	96.6	1.3e-07	43.5	5.2	1051-1350	11-140	4	96.85886381579965
1	PF06745.12	ATPase, KaiC	YP_009227212.1	1643	372	435	95.5	93.7	96.8	plus_ssRNA	Picornavirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, unclassified Picornavirales, Delisea pulchra RNA virus	232	12.3	1643	93.7	3.2e-06	43.5	5.4	1-1643	19-76	759	95.5	7.3e-07	43.3	5.4	1-759	18-76	2	95.56161749661737
1	PF07191.11	zinc-ribbons_6, zinc-ribbons	YP_009333603.1	1733	911	973	95.1	89.7	95.3	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 82	67	9.3	1733	89.7	5.8e-06	38.9	2.5	1-1733	2-59	274	95.1	4.1e-07	36.6	2.5	709-982	2-60	4	96.00681415097556
1	PF08423.10	Rad51, Rad51	YP_009111336.1	1753	368	428	96	87	96.2	unclassified	unclassified	unclassified	Viruses, ssRNA viruses, unclassified ssRNA viruses, Chaetoceros tenuissimus RNA virus type-II	255	11.6	1753	87.0	1.4e-05	41.8	3.4	1-1753	16-63	300	96.0	2.9e-07	42.5	4.7	301-600	16-64	3	95.42992631889341
1	PF09412.9	XendoU, Endoribonuclease XendoU	NP_066134.1	6629	6207	6324	95.8	79.2	95.4	plus_ssRNA	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Coronavirinae, Gammacoronavirus, Infectious bronchitis virus	264	6.4	6629	79.2	5.8e-05	49.8	5.2	1-6629	144-264	270	95.8	3.3e-07	50.1	4.7	6058-6327	144-264	2	95.81276097984781
1	PF09412.9	XendoU, Endoribonuclease XendoU	YP_001941164.2	6602	6205	6321	95.6	78.6	95.4	plus_ssRNA	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Coronavirinae, Gammacoronavirus, Turkey coronavirus	264	6.4	6602	78.6	4.7e-05	50.5	4.2	1-6602	145-264	270	95.6	3.2e-07	50.1	4.2	6055-6324	145-264	2	95.73595653878446
1	PF09412.9	XendoU, Endoribonuclease XendoU	YP_009380520.1	2671	2250	2366	95.6	87.2	95.3	plus_ssRNA	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Coronavirinae, Alphacoronavirus, unclassified Alphacoronavirus, Coronavirus AcCoV-JC34	264	6.4	2671	87.2	3.2e-05	48.2	6.9	1-2671	142-264	279	95.6	9.9e-07	47.4	6.9	2092-2370	142-264	2	95.78241593023515
1	PF10275.8	Peptidase_C65, Peptidase C65 Otubain	YP_006589919.1	2001	877	928	96	89.8	96.3	plus_ssRNA	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Carlavirus, Sweet potato C6 virus	252	9.1	2001	89.8	4.2e-06	49.9	2.1	1-2001	5-60	300	96.0	8.4e-08	50.0	2.1	656-955	5-59	3	96.01955024068157
1	PF10923.7	DUF2791, P-loop Domain of unknown function (DUF2791)	YP_009333425.1	1736	393	459	95.7	93.9	96.9	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 27	413	10.3	1736	93.9	8.6e-07	55.5	2.8	1-1736	7-74	799	95.7	1.7e-07	55.6	2.8	1-799	7-74	2	95.63703827754951
1	PF11976.7	Rad60-SLD, Ubiquitin-2 like Rad60 SUMO-like	YP_009337629.1	2190	100	160	96.1	86.9	96.2	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Changjiang zhaovirus-like virus 1	72	11.9	2190	86.9	5.3e-05	30.9	5.9	1-2190	9-69	300	96.1	7.5e-07	32.0	5.9	1-300	8-69	3	95.72173662335474
1	PF12631.6	MnmE_helical, MnmE helical domain	YP_009333405.1	1731	317	391	96.3	92.3	96.5	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai sipunculid worm virus 1	327	10.8	1731	92.3	3e-06	49.1	3.6	1-1731	39-115	300	96.3	1e-07	48.2	3.6	151-450	39-115	4	96.4711610914711
1	PF12692.6	Methyltransf_17, S-adenosyl-L-methionine methyltransferase	YP_009179226.1	5809	3457	3569	96	91.2	97.2	plus_ssRNA	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Beihai barnacle viurs 1	158	12.2	5809	91.2	5.7e-06	45.2	4.2	1-5809	21-133	1027	96.0	2.1e-07	45.4	4.2	2795-3821	22-133	2	95.98717380937168
1	PF13087.5	AAA_12, AAA domain	YP_009310114.1	5744	2255	2306	96.3	91.3	97.2	dsRNA viruses	Endornaviridae	unclassified	Viruses, dsRNA viruses, Endornaviridae, unclassified Endornavirus, Ceratobasidium endornavirus B	270	10.0	5744	91.3	9.7e-06	51.4	6.6	1-5744	214-267	300	96.3	2.3e-07	46.3	5.5	2217-2516	214-267	3	97.18217039897594
1	PF13189.5	Cytidylate_kin2, Cytidylate kinase-like family	YP_009333397.1	1703	516	567	95.3	94.7	97.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai sesarmid crab virus 1	185	10.8	1703	94.7	8.4e-08	54.8	-2.1	1-1703	89-140	1241	95.3	4.7e-08	54.5	-2.1	1-1241	89-140	2	95.36944649584268
1	PF13337.5	Lon_2, Putative ATP-dependent Lon protease	YP_009333526.1	1658	308	376	96.4	95.9	97.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai sipunculid worm virus 4	455	9.4	1658	95.9	1e-06	57.0	9.7	1-1658	205-243	586	96.4	7.6e-08	58.3	3.9	38-623	205-271	2	96.96381086428555
1	PF13365.5	Trypsin_2, Trypsin-like peptidase domain	YP_009052475.1	8108	4863	4979	97	91.9	97.2	plus_ssRNA	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Ball python nidovirus 1	137	12.0	8108	91.9	8.9e-06	44.8	6.4	1-8108	3-137	383	97.0	6.7e-08	42.0	6.4	4738-5120	3-137	2	97.37629573550306
1	PF13365.5	Trypsin_2, Trypsin-like peptidase domain	YP_009052476.1	5803	4863	4979	97	93.5	97.2	plus_ssRNA	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Ball python nidovirus 1	137	12.0	5803	93.5	4.2e-06	45.4	6.3	1-5803	3-137	383	97.0	6.7e-08	42.0	6.3	4738-5120	3-137	2	97.42941913705882
1	PF13481.5	AAA_25, AAA domain	YP_009388485.1	1587	324	383	96.7	93.8	96.9	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Fur seal picorna-like virus	187	11.8	1587	93.8	2.7e-06	43.2	5.1	1-1587	23-53	300	96.7	8.2e-08	42.8	5.1	151-450	23-85	4	96.81501007946244
1	PF13481.5	AAA_25, AAA domain	YP_009333434.1	1613	335	399	95.6	89.4	96	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 7	187	11.8	1613	89.4	1.3e-05	39.3	4.4	1-1613	22-53	300	95.6	5.3e-07	38.8	4.4	151-450	22-90	4	95.77761360428323
1	PF13481.5	AAA_25, AAA domain	YP_009333528.1	1442	173	238	96.7	95	97.2	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 9	187	11.8	1442	95.0	1.3e-06	44.7	5.8	1-1442	21-91	549	96.7	1.1e-07	45.6	5.8	1-549	21-91	2	96.53903903202674
1	PF13528.5	Glyco_trans_1_3, Glycosyl transferase family 1	YP_005086952.1	4393	3196	3261	96.8	89.3	96.9	dsRNA viruses	Endornaviridae	Alphaendornavirus	Viruses, dsRNA viruses, Endornaviridae, Alphaendornavirus, Persea americana alphaendornavirus 1	325	12.6	4393	89.3	3.4e-05	43.0	7.9	1-4393	256-323	300	96.8	2.2e-07	42.6	7.9	3045-3344	256-323	3	96.86137936014968
1	PF13528.5	Glyco_trans_1_3, Glycosyl transferase family 1	YP_009222598.1	4939	3721	3784	95.9	83.6	96.2	dsRNA viruses	Endornaviridae	Alphaendornavirus	Viruses, dsRNA viruses, Endornaviridae, Alphaendornavirus, Cucumis melo alphaendornavirus	325	12.6	4939	83.6	5.5e-05	42.0	6.1	1-4939	239-306	300	95.9	6.7e-07	40.2	6.1	3596-3895	239-306	3	96.35839156137122
1	PF13528.5	Glyco_trans_1_3, Glycosyl transferase family 1	YP_009337681.1	4518	3239	3372	96.2	85.1	96	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei endorna-like virus 1	325	12.6	4518	85.1	7.1e-05	40.8	7.6	1-4518	197-319	300	96.2	8.5e-07	39.7	7.6	3163-3462	197-320	3	96.42138573496953
1	PF13869.5	NUDIX_2, Nucleotide hydrolase	YP_003541122.1	2012	414	465	96.4	93.3	96.4	dsRNA viruses	Totiviridae	unclassified	Viruses, dsRNA viruses, Totiviridae, Phlebiopsis gigantea mycovirus dsRNA 1	189	9.0	2012	93.3	3.8e-06	48.4	5.9	1-2012	57-99	300	96.4	2.2e-07	45.7	5.9	377-676	57-99	3	96.81589430121039
1	PF14516.5	AAA_35, AAA-like domain	YP_009310117.1	1452	515	566	96.4	93.6	96.7	dsRNA viruses	Endornaviridae	unclassified	Viruses, dsRNA viruses, Endornaviridae, unclassified Endornavirus, Ceratobasidium endornavirus G	330	12.8	1452	93.6	9.5e-07	47.5	2.1	1-1452	2-53	300	96.4	5e-08	45.7	2.1	301-600	2-53	2	96.71148997967796
1	PF16285.4	DUF4931, Domain of unknown function (DUF4931)	YP_009336506.1	2234	1341	1430	96.2	92.6	96.4	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei orthoptera virus 3	244	9.7	2234	92.6	4.4e-06	49.1	5.4	1-2234	16-129	337	96.2	2.1e-07	47.2	5.3	1333-1669	16-130	2	96.63025330564537
1	PF16285.4	DUF4931, Domain of unknown function (DUF4931)	YP_009337387.1	2032	1185	1270	96.2	92.6	96.5	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 64	244	9.7	2032	92.6	4.5e-06	48.6	5.4	1-2032	16-129	230	96.2	2.6e-07	44.4	5.4	1183-1412	17-129	2	96.95398839498395
1	PF16493.4	Meis_PKNOX_N, N-terminal of Homeobox Meis and PKNOX1	YP_009215780.1	2227	1092	1153	95.2	91.4	96.2	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Hepatovirus, unclassified Hepatovirus, Tupaia hepatovirus A	85	4.3	2227	91.4	4.7e-06	47.8	3.8	1-2227	25-71	504	95.2	4.9e-07	47.0	3.7	711-1214	24-70	2	95.51381923473092
0	PF00201.17	UDPGT, UDP-glucoronosyl and UDP-glucosyl transferase	YP_438202.1	4627	3346	3486	96.1	83.7	96	dsRNA viruses	Endornaviridae	Alphaendornavirus	Viruses, dsRNA viruses, Endornaviridae, Alphaendornavirus, Oryza rufipogon alphaendornavirus	446	12.1	4627	83.7	5.5e-05	44.5	6.5	1-4627	263-405	300	96.1	5.3e-07	43.7	6.5	3273-3572	263-405	3	96.24995776018822
0	PF00201.17	UDPGT, UDP-glucoronosyl and UDP-glucosyl transferase	YP_009351891.1	4977	3774	3835	95.9	83.3	95.9	dsRNA viruses	Endornaviridae	unclassified	Viruses, dsRNA viruses, Endornaviridae, unclassified Endornavirus, Lagenaria siceraria endornavirus-Hubei	446	12.1	4977	83.3	8.9e-05	43.3	7.9	1-4977	337-383	300	95.9	1.3e-06	41.5	7.9	3628-3927	337-399	3	96.29255309408823
0	PF00201.17	UDPGT, UDP-glucoronosyl and UDP-glucosyl transferase	YP_009336626.1	5144	3389	3475	97.1	90.7	97.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Shahe endorna-like virus 1	446	12.1	5144	90.7	2.4e-06	55.2	1.3	1-5144	322-410	300	97.1	5e-09	54.8	1.3	3303-3602	322-410	4	97.11851633106018
0	PF00519.16	PPV_E1_C, Papillomavirus helicase	YP_009333392.1	2731	1434	1545	96	90.8	96	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 119	432	8.6	2731	90.8	4.2e-06	55.8	3.5	1-2731	264-383	300	96.0	1.4e-07	53.1	3.5	1314-1613	263-383	3	96.49620522466019
0	PF00519.16	PPV_E1_C, Papillomavirus helicase	YP_009333460.1	3113	611	661	96	88.4	96.2	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 110	432	8.6	3113	88.4	7.2e-06	54.6	3.0	1-3113	264-317	300	96.0	1.1e-07	53.8	3.0	505-804	264-316	3	96.19103277664759
0	PF00519.16	PPV_E1_C, Papillomavirus helicase	YP_009333485.1	2178	676	771	95.4	86.6	95.5	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 120	432	8.6	2178	86.6	7.6e-06	52.7	1.7	1-2178	263-377	300	95.4	1.6e-07	52.8	1.7	572-871	262-377	4	95.40459678725722
0	PF00519.16	PPV_E1_C, Papillomavirus helicase	YP_009333575.1	3089	568	666	95.8	93.2	96.6	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai sea slater virus 1	432	8.6	3089	93.2	4.9e-06	55.9	7.5	1-3089	231-320	825	95.8	6e-07	55.4	7.5	1-825	231-320	2	95.9337227474925
0	PF00519.16	PPV_E1_C, Papillomavirus helicase	YP_009336519.1	3470	574	709	96.8	94.7	97.3	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 54	432	8.6	3470	94.7	2.4e-06	59.0	8.7	1-3470	259-382	676	96.8	1.4e-07	58.6	8.7	217-892	259-382	2	96.82296965069166
0	PF00519.16	PPV_E1_C, Papillomavirus helicase	YP_009337104.1	2458	975	1035	96.7	94.8	97.4	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 69	432	8.6	2458	94.8	3.1e-07	64.0	1.9	1-2458	264-320	652	96.7	1.8e-08	64.3	1.9	889-1540	264-320	2	96.62884554282122
0	PF00548.19	Peptidase_C3, 3C cysteine protease (picornain 3C)	YP_803213.1	6872	3475	3605	97.2	93.3	97.3	plus_ssRNA	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Bafinivirus, White bream virus	165	11.5	6872	93.3	2e-05	44.0	11.0	1-6872	23-162	383	97.2	2.4e-07	41.5	10.7	3344-3726	23-162	2	97.47727968030736
